Cohort month,Cohort size,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
1/1/16,1319,3%,2%,2%,2%,2%,2%,1%,2%,2%,1%,1%,2%,1%,2%,2%,1%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,1%,2%,2%,2%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/16,1272,4%,2%,2%,2%,3%,1%,2%,1%,2%,2%,2%,2%,1%,1%,2%,1%,1%,2%,1%,2%,1%,2%,2%,1%,2%,2%,1%,1%,1%,2%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/16,1460,4%,2%,1%,2%,2%,1%,1%,2%,1%,2%,1%,2%,2%,2%,2%,1%,2%,2%,2%,2%,2%,2%,2%,1%,1%,2%,1%,2%,2%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/16,1344,4%,2%,2%,1%,1%,1%,1%,1%,2%,2%,2%,2%,2%,1%,2%,1%,2%,1%,1%,1%,2%,2%,2%,2%,2%,2%,1%,2%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/16,1314,4%,3%,2%,2%,1%,1%,2%,2%,1%,1%,2%,2%,2%,1%,1%,2%,2%,2%,1%,2%,2%,2%,2%,3%,2%,2%,2%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/16,1291,4%,2%,2%,2%,1%,1%,1%,1%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,3%,2%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/16,1260,3%,2%,2%,2%,2%,2%,1%,2%,2%,2%,2%,3%,2%,1%,2%,2%,2%,3%,2%,1%,1%,2%,2%,3%,2%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/16,1409,4%,2%,2%,2%,2%,1%,1%,2%,2%,2%,2%,2%,1%,2%,1%,2%,2%,1%,2%,2%,2%,2%,3%,3%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/16,1218,4%,2%,2%,1%,2%,2%,2%,2%,2%,1%,2%,3%,2%,1%,2%,3%,1%,2%,2%,2%,2%,2%,2%,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/16,1361,4%,3%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,1%,1%,2%,2%,2%,2%,2%,2%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/16,1279,4%,2%,1%,2%,3%,2%,1%,1%,2%,2%,3%,2%,2%,2%,1%,1%,2%,1%,2%,2%,1%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/16,1867,4%,2%,2%,2%,2%,2%,2%,2%,1%,2%,2%,4%,2%,2%,2%,3%,1%,1%,2%,2%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/17,1710,3%,2%,1%,2%,1%,2%,2%,2%,2%,1%,3%,2%,1%,1%,2%,2%,2%,2%,2%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/17,1623,4%,2%,2%,2%,3%,1%,2%,1%,2%,2%,2%,1%,2%,2%,2%,1%,2%,2%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/17,1698,4%,3%,2%,2%,2%,2%,2%,2%,2%,2%,1%,2%,2%,2%,2%,2%,2%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/17,1535,5%,3%,3%,1%,1%,2%,1%,2%,2%,2%,2%,2%,2%,1%,2%,2%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/17,1561,4%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,3%,2%,2%,2%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/17,1553,4%,2%,2%,2%,1%,2%,2%,1%,2%,1%,1%,3%,2%,2%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/17,1540,3%,2%,1%,1%,2%,2%,2%,2%,2%,1%,1%,2%,2%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/17,1563,4%,1%,1%,3%,2%,3%,1%,2%,2%,2%,3%,2%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/17,1518,5%,2%,3%,2%,2%,2%,2%,3%,2%,2%,2%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/17,1458,3%,3%,3%,2%,2%,2%,2%,2%,3%,2%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/17,1461,5%,2%,2%,2%,1%,2%,2%,2%,2%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/17,1868,5%,2%,2%,2%,3%,2%,2%,2%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/18,1703,5%,2%,2%,2%,2%,2%,2%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/18,1580,5%,2%,2%,3%,1%,2%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/18,1751,5%,2%,3%,2%,1%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/18,1693,5%,2%,2%,2%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/18,1692,4%,3%,2%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/18,1677,5%,2%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/18,1717,4%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/18,1735,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/18,1595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
